id,name,display_name
1,body weight,自重训练
2,cable,缆绳
3,leverage machine,杠杆机
4,assisted,辅助装置
5,medicine ball,药球
6,stability ball,平衡球
7,band,弹力带
8,barbell,杠铃
9,rope,绳索
10,dumbbell,哑铃
11,ez barbell,曲柄杠铃
12,sled machine,雪橇机
13,upper body ergometer,上肢测功仪
14,kettlebell,壶铃
15,olympic barbell,奥林匹克杠铃
16,weighted,负重
17,bosu ball,BOSU球
18,resistance band,阻力带
19,roller,滚轮
20,skierg machine,滑雪机
21,hammer,锤式器械
22,smith machine,史密斯机
23,wheel roller,健腹轮
24,stationary bike,固定自行车
25,tire,轮胎
26,trap bar,六角杠铃
27,elliptical machine,椭圆机
28,stepmill machine,踏步机
